STR_Nr;Region;ASC_Standort;STR_Bezeichnung;Verkehrsstelle;GEB_Bezeichnung;GEB_Nr;Gps Lon;Gps Lat;ENT_Nr;Strasse;Nr;STR_km;Ort;Plz;Bl;Blitzschutz;Ableiter;Gebäudeart;SLT_Haus;M2_Geb;M2_Ueberdacht;Argus;Nbr;FI_Schalter
2016190;SAE-Ost 2;ASC Amstetten;BF.PÖCHLARN;Bahnhof;BM -WERKSTÄTTE;397;15,2170722137;48,2083024512;7814;GISELHERSTRASSE;28;93,516;PÖCHLARN;3380;N;KEIN BLITZSCHUTZ;0;Werkstätte;Nein;118,43;;Ja;Nein;6
2016190;SAE-Ost 2;ASC Amstetten;BF.PÖCHLARN;Bahnhof;WHZ  1;10002350;;;7819;X;0;92,970;PÖCHLARN;3380;N;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;;;Ja;Nein;
2016190;SAE-Ost 2;ASC Amstetten;BF.PÖCHLARN;Bahnhof;SH  SI - DIENST;10002357;;;7826;X;0;94,059;PÖCHLARN;3380;N;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;;;Ja;Nein;
2016190;SAE-Ost 2;ASC Amstetten;BF.PÖCHLARN;Bahnhof;WHZ  2;10002351;;;7820;X;0;94,270;PÖCHLARN;3380;N;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;;;Ja;Nein;
2017010;SAE-Ost 2;ASC Amstetten;BF.AMSTETTEN;Bahnhof;SCHALTHAUS  WHZ 5;0;;;5050;Eggersdorferstrasse;19;124,550;AMSTETTEN;3300;N;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;;;Ja;Nein;
2016190;SAE-Ost 2;ASC Amstetten;BF.PÖCHLARN;Bahnhof;FONDSHAUS  61;57006905;;;7818;MANKERSTRASSE;12/3;94,500;PÖCHLARN;3380;N;KEIN BLITZSCHUTZ;0;Betriebsgebäude;Nein;1085,71;;Nein;Nein;
2016190;SAE-Ost 2;ASC Amstetten;BF.PÖCHLARN;Bahnhof;FONDSHAUS  60;57006904;;;7817;MANKERSTRASSE;12/2;94,500;PÖCHLARN;3380;N;KEIN BLITZSCHUTZ;0;Betriebsgebäude;Nein;1085,71;;Nein;Nein;
2016190;SAE-Ost 2;ASC Amstetten;BF.PÖCHLARN;Bahnhof;FONDSHAUS  59;57006903;;;7816;MANKERSTRASSE;12/1;94,500;PÖCHLARN;3380;N;KEIN BLITZSCHUTZ;0;Betriebsgebäude;Nein;1085,71;;Nein;Nein;
1581210;SAE-Ost 2;ASC Amstetten;BF.GRESTEN;Bahnhof;AUFNAHMEGEBÄUDE;57000681;;;5688;BAHNHOFSTRASSE;9;24,825;GRESTEN;3264;N;KEIN BLITZSCHUTZ;0;Betriebsgebäude;Nein;93,09;57,00;Nein;Nein;
2017010;SAE-Ost 2;ASC Amstetten;BF.AMSTETTEN;Bahnhof;POSTGEBÄUDE AMSTETTEN;18717;14,8799444681;48,1218525327;13137;GRABEN;62;124,510;AMSTETTEN;3300;N;BLITZSCHUTZ;11;Betriebsgebäude;Nein;1500,00;1500,00;Ja;Nein;6
2016190;SAE-Ost 2;ASC Amstetten;BF.PÖCHLARN;Bahnhof;ZUGBEGLEITERUNTERKUNFT;509;15,2163179429;48,2083139334;7815;BAHNHOFSPLATZ;1;93,963;PÖCHLARN;3380;N;BLITZSCHUTZ;7;Betriebsgebäude;Nein;147,22;;Ja;Nein;4
1021230;SAE-Ost 2;ASC Amstetten;BF.WAIDHOFEN/YBBS;Bahnhof;ZUGFÖRDERUNG;18114;;;1954;BAHNHOFSTRASSE;1;0,100;WAIDHOFEN/YBBS;3340;N;BLITZSCHUTZ;9;Büro/Verwaltungsgebäude;Nein;1000,00;;Nein;Nein;
2016190;SAE-Ost 2;ASC Amstetten;BF.PÖCHLARN;Bahnhof;BM - GEBÄUDE;11049;15,2218366449;48,2078807725;7813;GISELHERSTRASSE;28;93,503;PÖCHLARN;3380;N;BLITZSCHUTZ;8;Betriebsgebäude;Nein;896,92;;Ja;Nein;10
1021180;SAE-Ost 2;ASC Amstetten;HILM=K.-AB*BÖHLERWERK*;Strecke;WOHNGEB. EHEM. BM;57006330;;;1802;WAIDHOFENERSTR.;10;17,370;SONNTAGBERG;3332;N;KEIN BLITZSCHUTZ;0;Wohngebäude;Nein;66,06;;Nein;Nein;
1021230;SAE-Ost 2;ASC Amstetten;BF.WAIDHOFEN/YBBS;Bahnhof;WOHNGEBÄUDE  SÜDTIROLERPL.;12485;;;1955;SÜDTIROLERPLATZ;4;23,440;WAIDHOFEN/YBBS;3340;N;BLITZSCHUTZ;7;Wohngebäude;Nein;302,78;;Nein;Nein;
1021020;SAE-Ost 2;ASC Amstetten;AMSTETTEN 11-AB*KOCH*;Strecke;EK KM 3.484;10014366;;;12519;GREINSFURTH;1;3,484;MAUER  ÖHLING;3362;N;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;;;Nein;Nein;
2017090;SAE-Ost 2;ASC Amstetten;BF.ST.PETER=SEITENSTETTEN;Bahnhof;PUMPENHAUS;10002478;;;8020;X;0;144,260;ST.PETER - SEITENSTETTEN;3352;N;KEIN BLITZSCHUTZ;0;Betriebsgebäude;Nein;5,00;;Nein;Nein;
1021020;SAE-Ost 2;ASC Amstetten;AMSTETTEN 11-AB*KOCH*;Strecke;EK KM 3.837;10014367;;;12520;GREINSFURTH;1;3,837;MAUER  ÖHLING;3362;N;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;;;Nein;Nein;
2017120;SAE-Ost 2;ASC Amstetten;ST.PETER WEST-GRENZE REGION(KM 157,180);Strecke;SH  FUNKSTATION;10002492;;;8041;ST.JOHANN/WEISTRACH;N.V.;148,050;WEISTRACH;3351;N;ANTENNE;1;Schaltstation;Ja;6,00;;Ja;Nein;
2016220;SAE-Ost 2;ASC Amstetten;AB*RATH*-PÖCHLARN 12;Strecke;WOHNGEBÄUDE  EHEMALIGE FDL.;0;;;20211438;BAHNHOFSTRASSE;6;98,520;KRUMMNUSSBAUM;3375;N;KEIN BLITZSCHUTZ;0;Wohngebäude;Nein;390,00;;Nein;Nein;
2306100;SAE-Ost 2;ASC Amstetten;PÖCHLARN-YBBS/D.;Strecke;KAVERNE;10003022;;;22140504;X;0;99,370;SÄUSENSTEIN;3374;N;KEIN BLITZSCHUTZ;0;Schaltstation Tunnel;Nein;34,00;;Ja;Nein;
2016240;SAE-Ost 2;ASC Amstetten;PÖCHLARN 12-YBBS/D.;Strecke;HALTESTELLE - SÄUSENSTEIN;6;;;20211439;SCHLOSSSTRASSE;X;102,600;SÄUSENSTEIN;3374;N;KEIN BLITZSCHUTZ;0;Betriebsgebäude;Nein;1520,00;;Ja;Nein;
2306100;SAE-Ost 2;ASC Amstetten;PÖCHLARN-YBBS/D.;Strecke;FM - RAUM  ( BEI  TST 3);10003024;;;22140503;X;0;100,661;KRUMMNUSSBAUM;3375;N;KEIN BLITZSCHUTZ;0;Schaltstation Tunnel;Nein;14,00;;Ja;Nein;
2306100;SAE-Ost 2;ASC Amstetten;PÖCHLARN-YBBS/D.;Strecke;FM - RAUM  ( BEI  TST 2);10003023;;;22140502;X;0;98,654;KRUMMNUSSBAUM;3375;N;KEIN BLITZSCHUTZ;0;Schaltstation Tunnel;Nein;14,00;;Ja;Nein;
1551250;SAE-Ost 2;ASC Amstetten;BF.SCHEIBBS;Bahnhof;AUFNAHMEGEBÄUDE;540;15,1646389142;48,0049800650;445;BAHNHOFPLATZ;1;26,928;SCHEIBBS;3270;N;BLITZSCHUTZ;12;Betriebsgebäude;Nein;649,28;106,00;Ja;Nein;
2016240;SAE-Ost 2;ASC Amstetten;PÖCHLARN 12-YBBS/D.;Strecke;SH - HALTESTELLE - SÄUSENSTEIN;10016335;;;20211440;SCHLOSSSTRASSE;X;102,608;SÄUSENSTEIN;3374;N;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;12,00;;Ja;Nein;
1021090;SAE-Ost 2;ASC Amstetten;BF.ULMERFELD=HAUSMENING;Bahnhof;SH  WHZ 1;10005470;;;9486;BAHNHOFSTRASSE;22;7,785;ULMERFELD;3363;N;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;;;Ja;Nein;
1021090;SAE-Ost 2;ASC Amstetten;BF.ULMERFELD=HAUSMENING;Bahnhof;SH  EK  KM  7,162;10005473;;;9490;BAHNHOFSTRASSE;22;7,162;ULMERFELD;3363;N;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;;;Ja;Nein;
1021090;SAE-Ost 2;ASC Amstetten;BF.ULMERFELD=HAUSMENING;Bahnhof;SH  EK  KM  9,527;10005477;;;9494;BAHNHOFSTRASSE;22;9,527;ULMERFELD;3363;N;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;;;Ja;Nein;
2016240;SAE-Ost 2;ASC Amstetten;PÖCHLARN 12-YBBS/D.;Strecke;SH - ZUGFUNK;10016334;;;20211441;BAHNGRUND;0;100,100;KRUMMNUSSBAUM;3375;N;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;6,00;;Ja;Nein;
2016310;SAE-Ost 2;ASC Amstetten;ÜST.KARLSBACH13;Überleitstelle;BLINDENMARKT WH 142;57008300;;;20211446;BLINDENMARKT;21;116,678;BLINDENMARKT;3372;N;KEIN BLITZSCHUTZ;0;Betriebsgebäude;Nein;66,42;;Nein;Nein;
2016300;SAE-Ost 2;ASC Amstetten;AB*DOKA UMDASCH*-KARLSBACH13;Strecke;SH  HOA  KM  114,700;10002523;;;20211447;BAHNGRUND;X;114,700;BLINDENMARKT;3372;N;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;;;Ja;Nein;
2017010;SAE-Ost 2;ASC Amstetten;BF.AMSTETTEN;Bahnhof;SCHALTHAUS  WHZ 3;0;;;5044;X;XX;123,800;AMSTETTEN;3300;N;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;;;Ja;Nein;
2016310;SAE-Ost 2;ASC Amstetten;ÜST.KARLSBACH13;Überleitstelle;WH  142;57008300;;;9667;BLINDENMARKT;1;117,078;BLINDENMARKT;3372;N;KEIN BLITZSCHUTZ;0;Betriebsgebäude;Nein;66,42;;Nein;Nein;
2306270;SAE-Ost 2;ASC Amstetten;ABZW.KARLSBACH;Abzweigstelle;TG Karlsbach KM 110.000;19052;;;20231450;Vogelsangstrasse;X;110,000;NEUMARKT/YBBS;3371;N;BLITZSCHUTZ;0;Schaltstation;Ja;55,00;;Nein;Nein;
2017010;SAE-Ost 2;ASC Amstetten;BF.AMSTETTEN;Bahnhof;SCHALTHAUS  WHZ 4;0;;;5047;Heizhausstrasse;0;123,928;AMSTETTEN;3300;N;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;;;Ja;Nein;
1021090;SAE-Ost 2;ASC Amstetten;BF.ULMERFELD=HAUSMENING;Bahnhof;GÜTERMAGAZIN;11784;;;1419;BAHNHOFSTRASSE;22;7,913;ULMERFELD;3363;N;KEIN BLITZSCHUTZ;0;Betriebsgebäude;Nein;137,63;;Nein;Nein;
2016280;SAE-Ost 2;ASC Amstetten;KARLSBACH-AB*DOKA UMDASCH*;Strecke;TG Neumarkt;19053;;;20670918;Landesstrasse L6046;XX;111,361;NEUMARKT/YBBS;3371;N;KEIN BLITZSCHUTZ;0;Betriebsgebäude;Nein;70,00;;Ja;Nein;0
2016160;SAE-Ost 2;ASC Amstetten;GRENZE ASC(KM 81,148)-LOOSDORF 3;Strecke;VT TK RAUM;0;;;20063900;BAHNHOFSPLATZ;1;84,700;MELK;3390;N;KEIN BLITZSCHUTZ;0;Betriebsgebäude;Nein;;;Nein;Nein;
2017010;SAE-Ost 2;ASC Amstetten;BF.AMSTETTEN;Bahnhof;SOZIALBAU ZGFDG;3182;14,8804758867;48,1205129091;4838;EGGERSDRFERSTRASSE;23;124,480;AMSTETTEN;3300;N;KEIN BLITZSCHUTZ;0;Betriebsgebäude;Nein;1029,52;;Ja;Nein;5
2017010;SAE-Ost 2;ASC Amstetten;BF.AMSTETTEN;Bahnhof;SH  BÜNDELFUNK  HHZ;0;;;12017;EGGERSDORFERSTRASSE;23;124,772;AMSTETTEN;3300;N;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;17,50;;Ja;Nein;
2307010;SAE-Ost 2;ASC Amstetten;BF.AMSTETTEN (GLEIS 3 + 4);Bahnhof;WHZ   6;0;;;22676397;"48°07'16.5""N 14°52'15.7""E";X;125,155;AMSTETTEN;3300;N;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;26,90;;Ja;Nein;0
2016320;SAE-Ost 2;ASC Amstetten;ÜST.KARLSBACH13-AMSTETTEN;Strecke;TG Blindenmarkt;19057;;;20574096;Bahnhofstrasse;0;117,000;BLINDENMARKT;3372;N;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;104,50;;Ja;Nein;0
2017010;SAE-Ost 2;ASC Amstetten;BF.AMSTETTEN;Bahnhof;VERWALTUNGSGEB.  ZGFDG;118;;;4837;EGGERSDRFERSTRASSE;23;124,480;AMSTETTEN;3300;N;KEIN BLITZSCHUTZ;0;Büro/Verwaltungsgebäude;Nein;447,66;;Nein;Nein;7
2017010;SAE-Ost 2;ASC Amstetten;BF.AMSTETTEN;Bahnhof;WAGENMEISTERUNTERKUNFT  ZGFDG;3182;14,8804758867;48,1205129091;4835;EGGERSDRFERSTRASSE;23;124,370;AMSTETTEN;3300;N;KEIN BLITZSCHUTZ;0;Betriebsgebäude;Nein;38,57;;Ja;Nein;3
